Column1,Column2
The Euclidean distance between the master steer data and steer data of file 2 is,16.185329
The Euclidean distance between the master steer data and steer data of file 3 is,14.47114854
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,33.24723341
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,31.16006796
The Euclidean distance between the master brake data and brake data of file 2 is,17.3730311
The Euclidean distance between the master brake data and brake data of file 3 is,17.3730311
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,14.55372075
The Euclidean distance between the master steer data and steer data of file 3 is,14.20684816
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,42.22374675
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,29.76330514
The Euclidean distance between the master brake data and brake data of file 2 is,17.3730311
The Euclidean distance between the master brake data and brake data of file 3 is,17.3730311
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,12.8971774
The Euclidean distance between the master steer data and steer data of file 3 is,15.344576
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,32.24189743
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,32.30182259
The Euclidean distance between the master brake data and brake data of file 2 is,17.3730311
The Euclidean distance between the master brake data and brake data of file 3 is,19.62749553
,
,
The Euclidean distance between the master steer data and steer data of file 2 is,16.12942781
The Euclidean distance between the master steer data and steer data of file 3 is,11.29114782
The Euclidean distance between the master acceleration data and acceleration data of file 2 is,32.51193284
The Euclidean distance between the master acceleration data and acceleration data of file 3 is,21.76465507
The Euclidean distance between the master brake data and brake data of file 2 is,43.5770853
The Euclidean distance between the master brake data and brake data of file 3 is,19.14809429
,
,
